,0
0,0.0
2,72.5372
4,134.4796
6,175.0432
8,228.988
10,278.8068
12,313.0568
14,355.384
16,392.33
18,423.4752
20,450.7204
22,475.9532
24,503.0352
26,532.4712
28,558.2204
30,576.9704
32,601.2588
34,621.2712
36,642.7312
38,659.2344
40,679.8648
42,702.5656
44,723.438
46,739.364
48,762.3944
50,778.844
