,0
0,0.0
2,488.0452
4,790.6316
6,1030.416
8,1311.6984
10,1474.098
12,1643.538
14,1794.0664
16,1927.6596
18,2080.94
20,2226.5864
22,2342.8428
24,2463.3044
26,2562.264
28,2648.1056
30,2719.378
32,2867.364
34,2952.6984
36,3029.0468
38,3093.5592
40,3192.6996
42,3297.3528
44,3382.2084
46,3455.7
48,3557.0628
50,3658.12
