Size of Seed Set,Running Time[s]
1,0.012897729873657227
2,0.020984649658203125
3,0.029143571853637695
4,0.03789210319519043
5,0.04547834396362305
6,0.05253958702087402
7,0.059480905532836914
8,0.06623435020446777
9,0.07280659675598145
10,0.07941007614135742
11,0.08640527725219727
12,0.09285759925842285
13,0.10022640228271484
14,0.10658907890319824
15,0.11287593841552734
16,0.11913752555847168
17,0.12552905082702637
18,0.1325371265411377
19,0.13890910148620605
20,0.14513540267944336
21,0.15139198303222656
22,0.15760421752929688
23,0.16388678550720215
24,0.17023158073425293
25,0.17706751823425293
26,0.1834254264831543
27,0.18969130516052246
28,0.19600319862365723
29,0.20230412483215332
30,0.20856833457946777
31,0.2148604393005371
32,0.2218172550201416
33,0.22838377952575684
34,0.23473763465881348
35,0.24094772338867188
36,0.24718594551086426
37,0.25332093238830566
38,0.2595369815826416
39,0.2663586139678955
40,0.2726442813873291
41,0.2791883945465088
42,0.2854299545288086
43,0.2929236888885498
44,0.3001747131347656
45,0.3071873188018799
46,0.3139607906341553
47,0.3207128047943115
48,0.32738423347473145
49,0.33384180068969727
50,0.34024667739868164
