,0
0,0.0
2,2.008
4,4.006
6,6.0112
8,8.022
10,10.0284
12,12.0344
14,14.0532
16,16.0464
18,18.0456
20,20.0444
22,22.0964
24,24.1468
26,26.1552
28,28.15
30,30.142
32,32.1488
34,34.1504
36,36.1592
38,38.1788
40,40.1828
42,42.1916
44,44.2272
46,46.2544
48,48.3932
50,50.4532
