Size of Seed Set,Running Time[s]
1,278.1379146575928
2,534.4017586708069
3,743.0295851230621
4,964.2655012607574
5,1149.7926156520844
6,1390.1294584274292
7,1648.869972705841
8,1771.485283613205
9,1935.5594594478607
10,2070.694116830826
11,2212.602733373642
12,2454.7966430187225
13,2589.8074853420258
14,2831.4345576763153
15,2958.9811973571777
16,3109.9646508693695
17,3349.9538793563843
18,3436.4856379032135
19,3628.326910972595
20,3700.6415688991547
21,3937.8754189014435
22,4169.990112066269
23,4361.936927080154
24,4522.570241928101
25,4700.940011262894
26,4897.473067998886
27,4971.915016174316
28,5199.640855789185
29,5282.58593082428
30,5457.537028312683
31,5655.968688488007
32,5737.900251150131
33,5916.425518035889
34,6114.509487390518
35,6255.222834825516
36,6358.822304964066
37,6465.124269962311
38,6563.979547023773
39,6699.057137966156
40,6824.2371599674225
41,6930.996012926102
42,7029.682563304901
43,7205.895821809769
44,7385.103225946426
45,7482.4135818481445
46,7535.676688194275
47,7706.430805683136
48,7889.326912879944
49,7947.59995341301
50,7949.214084148407
