Size of Seed Set,Running Time[s]
1,20.475997924804688
2,19.36497187614441
3,21.222637176513672
4,17.387956857681274
5,21.970558881759644
6,16.062541484832764
7,18.431135892868042
8,17.099327564239502
9,16.762726306915283
10,22.03616690635681
11,14.139994621276855
12,15.067814111709595
13,18.209290504455566
14,16.690340995788574
15,18.852439880371094
16,18.412161111831665
17,16.412545204162598
18,17.90867519378662
19,16.69542622566223
20,14.707331895828247
21,12.939858675003052
22,17.14842987060547
23,20.73881459236145
24,13.658161401748657
25,14.707361459732056
26,17.65679168701172
27,18.013235569000244
28,16.3062481880188
29,18.426652193069458
30,13.09678053855896
31,13.099705219268799
32,14.475615978240967
33,16.650202751159668
34,19.393719911575317
35,18.361785650253296
36,13.426196336746216
37,13.85873532295227
38,16.836432933807373
39,14.11406135559082
40,15.54004716873169
41,17.950060606002808
42,15.635905027389526
43,14.681005477905273
44,15.721933126449585
45,14.603049278259277
46,15.815410137176514
47,12.309807300567627
48,16.028078079223633
49,13.582743644714355
50,19.093888521194458
