,0
0,0.0
2,72.5372
4,134.4796
6,175.3212
8,228.3352
10,278.8212
12,311.2212
14,357.7728
16,392.8396
18,425.3276
20,449.7636
22,470.4104
24,497.5008
26,525.8068
28,551.6856
30,567.904
32,581.8524
34,608.9988
36,629.9
38,645.6896
40,666.4272
42,682.8296
44,704.718
46,720.596
48,741.5204
50,757.1148
