,0
0,0.0
2,11.9548
4,21.044
6,30.1296
8,38.256
10,45.8752
12,53.3204
14,60.9228
16,67.7684
18,73.9988
20,80.2184
22,86.336
24,92.7996
26,98.54
28,104.5356
30,110.3096
32,115.6372
34,120.8168
36,126.2128
38,131.0392
40,136.0232
42,141.2204
44,146.046
46,151.358
48,155.8788
50,160.6536
