,0
0,0.0
2,488.0452
4,629.3052
6,959.3388
8,1225.9364
10,1374.4004
12,1431.3592
14,1585.4268
16,1702.0328
18,1803.446
20,1910.304
22,2047.592
24,2189.97
26,2257.1608
28,2413.4096
30,2509.068
32,2572.7532
34,2654.982
36,2716.7156
38,2755.662
40,2872.2876
42,2927.1204
44,2981.5476
46,3043.6536
48,3129.7216
50,3157.8388
