Size of Seed Set,Running Time[s]
1,1578563422.9557214
2,1578563467.5765488
3,1578563496.2635596
4,1578563520.3538847
5,1578563543.1924913
6,1578563564.3613365
7,1578563584.238234
8,1578563603.9969158
9,1578563623.3497126
10,1578563641.7309291
11,1578563660.732845
12,1578563679.71637
13,1578563698.149992
14,1578563717.0507486
15,1578563735.6763294
16,1578563754.26305
17,1578563772.515089
18,1578563790.99483
19,1578563809.9542856
20,1578563828.4646137
21,1578563846.9129012
22,1578563864.9484155
23,1578563883.1465425
24,1578563901.487637
25,1578563919.6150591
26,1578563937.6796713
27,1578563955.805679
28,1578563973.9125924
29,1578563992.1064792
30,1578564010.371513
31,1578564028.9237878
32,1578564047.213966
33,1578564065.4725835
34,1578564083.6989903
35,1578564101.8668833
36,1578564120.2764494
37,1578564138.7623773
38,1578564157.0361736
39,1578564175.3197868
40,1578564194.3266673
41,1578564212.799238
42,1578564231.1021748
43,1578564249.4427066
44,1578564267.630011
45,1578564286.0128424
46,1578564304.4017675
47,1578564322.819977
48,1578564341.1278598
49,1578564359.4448535
50,1578564377.9047832
