,0
0,0.0
2,10329.3964
4,10339.492
6,10351.3484
8,10362.2548
10,10368.916
12,10376.5748
14,10378.8236
16,10393.866
18,10398.3248
20,10406.7828
22,10412.9712
24,10416.1776
26,10427.32
28,10428.8464
30,10434.9852
32,10443.5564
34,10446.3796
36,10453.7928
38,10457.858
40,10466.8676
42,10468.5816
44,10476.85
46,10481.4412
48,10485.5632
50,10492.2928
