Size of Seed Set,Running Time[s]
1,1578562135.4199748
2,1578562179.8143687
3,1578562203.6243143
4,1578562227.353102
5,1578562251.0319192
6,1578562274.7237298
7,1578562298.4512048
8,1578562322.1403992
9,1578562345.8731968
10,1578562369.5981076
11,1578562393.3570278
12,1578562417.1425319
13,1578562440.8520951
14,1578562464.561358
15,1578562488.4125798
16,1578562512.20637
17,1578562536.0161815
18,1578562559.891407
19,1578562583.7091649
20,1578562607.483225
21,1578562631.3048615
22,1578562655.0981355
23,1578562678.9570184
24,1578562702.847841
25,1578562726.6404543
26,1578562750.4500637
27,1578562774.2264466
28,1578562798.0233974
29,1578562821.7900891
30,1578562845.5481656
31,1578562869.2480984
32,1578562892.9392054
33,1578562916.6600773
34,1578562940.4150205
35,1578562964.1391811
36,1578562987.9642766
37,1578563011.719847
38,1578563035.4909058
39,1578563059.2684422
40,1578563083.074373
41,1578563106.941431
42,1578563130.7284093
43,1578563154.4668689
44,1578563178.2124405
45,1578563202.1033213
46,1578563225.878885
47,1578563249.9278011
48,1578563274.4342992
49,1578563299.1192994
50,1578563323.142297
