,0
0,0.0
2,2447.132
4,3999.1268
6,4999.6072
8,5834.8964
10,6271.5016
12,6802.3356
14,7263.8364
16,7653.322
18,8105.7456
20,8499.3992
22,8837.2028
24,9211.602
26,9423.4048
28,9725.1916
30,9944.91
32,10151.2236
34,10421.92
36,10637.5028
38,10885.6212
40,11042.67
42,11236.2052
44,11414.488
46,11641.014
48,11852.8032
50,12016.6456
