Size of Seed Set,Running Time[s]
1,8.74629545211792
2,9.95025086402893
3,11.242426872253418
4,14.396653890609741
5,15.664762020111084
6,17.628435134887695
7,19.682294130325317
8,20.36806082725525
9,22.343263387680054
10,24.323118448257446
11,25.862736701965332
12,27.104966402053833
13,29.16218662261963
14,30.62108588218689
15,32.1541862487793
16,34.30665850639343
17,36.2336208820343
18,36.954352140426636
19,38.875874042510986
20,41.12400245666504
21,42.63701248168945
22,43.93779015541077
23,45.28531527519226
24,47.59672999382019
25,49.53482413291931
26,50.98757362365723
27,52.481072425842285
28,54.00760841369629
29,55.645646810531616
30,57.060935497283936
31,59.29175114631653
32,61.17747139930725
33,62.508216857910156
34,64.07090353965759
35,65.55510377883911
36,67.79539966583252
37,69.55471539497375
38,70.79505944252014
39,72.90300965309143
40,74.31742024421692
41,76.23426175117493
42,78.05323266983032
43,79.4588668346405
44,81.22420859336853
45,82.55192565917969
46,84.703289270401
47,86.36472010612488
48,88.35671377182007
49,89.91494297981262
50,90.84806251525879
