Size of Seed Set,Running Time[s]
1,8.777289867401123
2,6.519620418548584
3,6.520219087600708
4,6.478072166442871
5,6.480471134185791
6,6.447929620742798
7,6.485058546066284
8,6.491846323013306
9,6.4551169872283936
10,6.504279613494873
11,6.51238751411438
12,6.514540433883667
13,6.507797718048096
14,6.53238582611084
15,6.527487277984619
16,6.558508396148682
17,6.469613075256348
18,6.534430503845215
19,6.532783269882202
20,6.571954965591431
21,6.537120819091797
22,6.510622262954712
23,6.480520725250244
24,6.540928602218628
25,6.497796297073364
26,6.486843585968018
27,6.484972238540649
28,6.52675986289978
29,6.571452379226685
30,6.570775985717773
31,6.606553077697754
32,6.545471906661987
33,6.546342372894287
34,6.5463738441467285
35,6.599070072174072
36,6.535262584686279
37,6.52985143661499
38,6.509702682495117
39,6.48669171333313
40,6.5018110275268555
41,6.495061159133911
42,6.493339776992798
43,6.496476650238037
44,6.5093994140625
45,6.48279595375061
46,6.567764043807983
47,6.50019645690918
48,6.548222541809082
49,6.5955119132995605
50,6.527419805526733
