Size of Seed Set,Running Time[s]
1,1667.4612426757812
2,429.721640586853
3,228.07955241203308
4,135.01263904571533
5,116.09657669067383
6,89.95028877258301
7,67.31121778488159
8,60.655184507369995
9,55.97438645362854
10,40.97345161437988
11,47.908658027648926
12,40.259512186050415
13,33.42900371551514
14,31.50774645805359
15,26.094733238220215
16,33.071354150772095
17,30.898534774780273
18,29.753501176834106
19,31.5620379447937
20,26.178738117218018
21,29.18581485748291
22,25.877201080322266
23,23.94250464439392
24,24.737411737442017
25,23.725316286087036
26,24.72036862373352
27,21.993438243865967
28,23.433862447738647
29,22.30669641494751
30,22.005784273147583
31,21.840742349624634
32,21.83118510246277
33,22.628477573394775
34,21.289448022842407
35,21.578611612319946
36,19.960017204284668
37,20.740641355514526
38,19.91957426071167
39,19.284157276153564
40,19.711981773376465
41,20.253273725509644
42,19.620692014694214
43,20.13267946243286
44,19.025835514068604
45,19.399912357330322
46,19.5098557472229
47,20.187116146087646
48,19.282771587371826
49,19.2518253326416
50,18.811581134796143
