,0
0,0.0
2,74.4356
4,136.6632
6,197.1476
8,244.9348
10,288.148
12,329.4996
14,363.5528
16,398.0336
18,426.0512
20,454.9804
22,482.268
24,512.3052
26,541.4408
28,567.4032
30,592.1832
32,615.3272
34,638.132
36,659.2664
38,680.1188
40,703.662
42,722.118
44,742.0028
46,762.4552
48,782.2624
50,799.8412
