,0
0,0.0
2,577.4052
4,921.1256
6,1177.6508
8,1376.3796
10,1578.1588
12,1765.6736
14,1927.0448
16,2090.8492
18,2223.184
20,2359.8876
22,2466.0264
24,2581.7456
26,2693.8264
28,2808.6372
30,2915.8584
32,3021.8052
34,3118.604
36,3222.8292
38,3318.6992
40,3415.0868
42,3505.6844
44,3587.268
46,3683.1408
48,3759.6508
50,3847.8852
