,0
0,0.0
2,2.708
4,5.1788
6,7.4156
8,9.8436
10,12.1372
12,14.5836
14,17.1188
16,19.62
18,21.9012
20,24.2976
22,26.4888
24,28.8176
26,31.1376
28,33.4392
30,35.5104
32,37.6992
34,39.7128
36,41.9624
38,44.1304
40,46.4268
42,48.6468
44,51.0444
46,53.2864
48,55.5796
50,57.69
